Year,GDP per capita (current US$),GDP (current US$),"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Consumer Price Index,"Official exchange rate (LCU per US$, period average)"
1960,177.0877365,1223943662,,,,7.14E-05
1961,184.2528923,1309859155,,3.470849865,,7.14E-05
1962,190.9221519,1390140845,,1.940149819,,7.14E-05
1963,207.7293237,1549295775,,6.745649095,0.0011880000000000000,7.14E-05
1964,227.853457,1740845070,,9.934816234,0.0013910000000000000,7.14E-05
1965,263.7788717,2064788732,26.44478485,17.00659527,0.0018060000000000000,7.14E-05
1966,266.5984222,2138028169,13.23788546,8.152514979,0.0017710000000000000,7.14E-05
1967,212.8552707,1748837209,-8.422485898,-3.878356605,0.0017210000000000000,8.61E-05
1968,197.9848626,1666666667,7.894736842,12.61651724,0.0019340000000000000,0.000101985
1969,227.3230206,1961764706,7.317073163,11.03681686,0.0019980000000000000,0.000101985
1970,249.9133518,2214705882,3.030303031,2.889154491,0.0020120000000000000,0.000101985
1971,266.4636046,2427184466,9.558823537,5.182012574,0.0022310000000000000,0.000103429
1972,225.9825113,2116541353,10.06711409,15.47255936,0.0025130000000000000,0.000133267
1973,313.1723309,3018103448,17.68292682,20.88249212,0.0031500000000000000,0.000116437
1974,291.8052289,2894409938,18.13471503,24.56873374,0.0036570000000000000,0.000114938
1975,275.2348892,2810106383,29.8245614,29.4635237,0.0051340000000000000,0.000114938
1976,263.1318545,2765254237,56.08108108,28.04864973,0.0083390000000000000,0.000114938
1977,294.6219343,3189428571,116.4502165,67.25078241,0.0175860000000000000,0.000114938
1978,328.0840926,3662478185,73.09166667,73.30669458,0.0366630000000000000,0.000176263
1979,349.1091855,4020227920,54.44128833,37.94947817,0.0433690000000000000,0.000274852
1980,374.6427352,4445228216,50.07013934,51.12613501,0.0814630000000000000,0.000274852
1981,345.7345198,4222441860,116.503604,75.63356578,0.1631070000000000000,0.000274852
1982,320.6994116,4035994398,22.29556641,27.89057907,0.1904870000000000000,0.000274852
1983,312.4795285,4057275132,122.8745146,123.0612136,0.4617740000000000000,0.000882523
1984,330.6939586,4412279843,39.66531379,35.31242434,0.4894260000000000000,0.003596684
1985,329.95096,4504306723,10.30544067,20.64841499,0.5848580000000000000,0.005433577
1986,410.5216132,5735677434,24.56541608,41.70579552,0.7798200000000000000,0.008915621
1987,354.6156384,5074829932,39.81506788,39.2014969,1.0462400000000000000,0.015365068
1988,354.2720462,5197765032,31.35926763,33.40285419,1.3242300000000000000,0.020223705
1989,348.9039649,5251858440,25.22369203,28.29431108,1.7275700000000000000,0.026985484
1990,381.2464191,5889106573,37.25906649,31.16658673,2.3477900000000000000,0.032615622
1991,416.7764291,6603185268,18.03143901,20.04135924,2.5887000000000000000,0.036763307
1992,395.0426355,6416103926,10.05611674,11.15008287,2.9337800000000000000,0.043685167
1993,358.6310116,5968922939,24.95984247,31.75721237,3.7451400000000000000,0.064871188
1994,319.6074403,5446383727,24.87025544,30.12892697,5.0252100000000000000,0.095568239
1995,370.688085,6464382808,59.4615537,43.04533058,8.5839000000000000000,0.119913873
1996,388.5332803,6932991739,46.56101968,39.83774281,11.3876000000000000000,0.163547168
1997,377.240426,6891443192,27.88520864,19.45816759,13.2232000000000000000,0.204796278
1998,399.7962011,7482069162,14.62416667,17.04846525,15.3062000000000000000,0.231165901
1999,402.4714032,7718109982,4.865397851,13.97116505,17.4167000000000000000,0.266642972
2000,253.3802932,4982850662,40.24093312,27.23011384,24.4773000000000000000,0.544919176
2001,263.1701414,5314872854,41.50949629,34.81794407,29.6894000000000000000,0.716305158
2002,297.0469704,6166197848,9.360932396,22.81858472,34.1931000000000000000,0.792417084
2003,357.8479826,7632723556,29.77297972,28.70440721,42.2488000000000000000,0.866764327
2004,405.4249018,8881417907,18.04273882,14.35015113,47.2252000000000000000,0.899494854
2005,477.6010928,10744568381,15.43899202,14.9637184,54.2322000000000000000,0.905209486
2006,904.1695278,20885037597,11.67918394,84.68347182,60.5727000000000000000,0.915106799
2007,1047.199428,24827339138,10.73426655,16.10424059,68.2940000000000000000,0.932619195
2008,1178.955877,28679383241,16.49463961,19.41027109,80.6784000000000000000,1.052275
2009,1044.004989,26048720006,19.24694822,15.66656862,93.5681000000000000000,1.404966667
2010,1258.964197,32197655567,10.73338984,16.59564473,101.5930000000000000000,1.429983333
2011,1501.059171,39336668081,8.728459371,13.91482218,110.3090000000000000000,1.520625
2012,1536.619635,41271701061,11.18634094,15.20527874,119.7430000000000000000,1.824866667
2013,2282.407501,62824629066,11.66619231,54.01291176,135.9030000000000000000,1.98135
2014,1942.921869,54783320577,15.48961603,23.93996048,158.9890000000000000000,2.896575
2015,1711.271317,49406009812,17.1499695,13.25296456,187.1160000000000000000,3.714641667
2016,1900.397674,56164928691,17.45463471,15.74861961,215.8610000000000000000,3.909816667
2017,1998.722666,60405920072,12.37192155,10.67731058,241.3780000000000000000,4.350533333
2018,2180.029684,67298913752,7.808765166,10.56847993,259.8900000000000000000,4.585325
2019,2167.92544,68337974418,7.143640033,8.481072981,278.4500000000000000000,5.217366667
2020,2176.576218,70043095504,9.887289563,9.365573678,305.9800000000000000000,5.595708333
2021,2422.085913,79524421861,9.971088675,12.10610163,336.4900000000000000000,5.8057
2022,2203.558935,73766052452,31.2558951,28.22364244,441.6700000000000000000,8.2724
2023,2383.904562,80547146878,38.2357646,40.12375567,609.9750000000000000000,11.0234
2024,2405.792876,82825288888,23.8965433,25.78542565,749.3400000000000000000,8.3671
2025,2519.141590,88335743645,25.6757364,26.00136514,534.3360000000000000000,8.1085
